Time: 6.72 s, Step: 47
Time: 15.69 s, Step: 149
Time: 28.63 s, Step: 247
Time: 12.46 s, Step: 109
Time: 7.24 s, Step: 57
Time: 8.94 s, Step: 73
Time: 6.53 s, Step: 51
Time: 7.93 s, Step: 61
Time: 5.73 s, Step: 41
Time: 9.44 s, Step: 73
Time: 12.45 s, Step: 73
Time: 5.23 s, Step: 35
Time: 8.24 s, Step: 35
Time: 7.64 s, Step: 61
Time: 6.42 s, Step: 45
Time: 6.82 s, Step: 43
Time: 9.83 s, Step: 43
Time: 12.84 s, Step: 43
Time: 15.85 s, Step: 43
Time: 18.87 s, Step: 43
Time: 7.02 s, Step: 55
Time: 5.64 s, Step: 51
Time: 8.74 s, Step: 69
Time: 7.12 s, Step: 27
Time: 14.86 s, Step: 81
Time: 6.73 s, Step: 57
Time: 9.75 s, Step: 57
Time: 12.76 s, Step: 57
Time: 15.78 s, Step: 57
Time: 18.80 s, Step: 57
Time: 21.82 s, Step: 57
Time: 24.86 s, Step: 57
Time: 27.88 s, Step: 57
Time: 30.90 s, Step: 57
Time: 33.92 s, Step: 57
Time: 36.94 s, Step: 57
